state_code,Year,cdd,hdd,State,Description,cdd_hdd_sum
1,2000,171.0,233.5,AL,Alabama,404.5
1,2001,142.75,221.33333333333334,AL,Alabama,364.08333333333337
1,2002,171.08333333333334,231.16666666666666,AL,Alabama,402.25
1,2003,147.0,233.83333333333334,AL,Alabama,380.83333333333337
1,2004,153.41666666666666,219.75,AL,Alabama,373.16666666666663
1,2005,158.75,224.25,AL,Alabama,383.0
1,2006,169.75,211.16666666666666,AL,Alabama,380.91666666666663
1,2007,180.91666666666666,210.08333333333334,AL,Alabama,391.0
1,2008,153.41666666666666,233.91666666666666,AL,Alabama,387.3333333333333
1,2009,151.58333333333334,233.16666666666666,AL,Alabama,384.75
1,2010,190.91666666666666,276.5,AL,Alabama,467.41666666666663
1,2011,169.33333333333334,222.25,AL,Alabama,391.58333333333337
1,2012,169.58333333333334,184.08333333333334,AL,Alabama,353.6666666666667
1,2013,143.08333333333334,235.41666666666666,AL,Alabama,378.5
1,2014,152.08333333333334,261.1666666666667,AL,Alabama,413.25
1,2015,173.83333333333334,202.25,AL,Alabama,376.08333333333337
1,2016,191.91666666666666,196.08333333333334,AL,Alabama,388.0
1,2017,159.91666666666666,177.41666666666666,AL,Alabama,337.3333333333333
1,2018,187.25,224.5,AL,Alabama,411.75
1,2019,190.58333333333334,199.83333333333334,AL,Alabama,390.4166666666667
1,2020,165.58333333333334,190.33333333333334,AL,Alabama,355.9166666666667
2,2000,265.6666666666667,162.08333333333334,AZ,Arizona,427.75
2,2001,269.8333333333333,173.66666666666666,AZ,Arizona,443.5
2,2002,259.4166666666667,164.0,AZ,Arizona,423.4166666666667
2,2003,268.9166666666667,154.75,AZ,Arizona,423.6666666666667
2,2004,244.75,167.41666666666666,AZ,Arizona,412.16666666666663
2,2005,250.33333333333334,155.0,AZ,Arizona,405.33333333333337
2,2006,256.9166666666667,159.08333333333334,AZ,Arizona,416.0
2,2007,270.75,160.75,AZ,Arizona,431.5
2,2008,249.83333333333334,164.16666666666666,AZ,Arizona,414.0
2,2009,259.8333333333333,155.33333333333334,AZ,Arizona,415.16666666666663
2,2010,245.16666666666666,167.08333333333334,AZ,Arizona,412.25
2,2011,260.3333333333333,179.33333333333334,AZ,Arizona,439.66666666666663
2,2012,267.8333333333333,145.83333333333334,AZ,Arizona,413.66666666666663
2,2013,255.41666666666666,171.91666666666666,AZ,Arizona,427.3333333333333
2,2014,259.75,131.5,AZ,Arizona,391.25
2,2015,260.75,148.16666666666666,AZ,Arizona,408.91666666666663
2,2016,268.25,135.33333333333334,AZ,Arizona,403.58333333333337
2,2017,278.1666666666667,122.75,AZ,Arizona,400.9166666666667
2,2018,270.5,144.41666666666666,AZ,Arizona,414.91666666666663
2,2019,247.91666666666666,173.91666666666666,AZ,Arizona,421.8333333333333
2,2020,296.4166666666667,152.83333333333334,AZ,Arizona,449.25
3,2000,156.66666666666666,297.0833333333333,AR,Arkansas,453.75
3,2001,148.33333333333334,276.8333333333333,AR,Arkansas,425.16666666666663
3,2002,145.75,295.5,AR,Arkansas,441.25
