State,Year,e_price
NEW,2001,10.86
CT,2001,9.62
ME,2001,10.55
MA,2001,11.55
NH,2001,10.95
RI,2001,11.45
VT,2001,10.86
MAT,2001,9.74
NJ,2001,9.36
NY,2001,11.55
PA,2001,8.01
ENC,2001,6.46
IL,2001,6.9
IN,2001,5.3
MI,2001,6.97
OH,2001,6.62
WI,2001,6.08
WNC,2001,5.99
IA,2001,6.14
KS,2001,6.24
MN,2001,5.97
MO,2001,6.03
NE,2001,5.39
ND,2001,5.48
SD,2001,6.35
SAT,2001,6.68
DE,2001,6.8
DC,2001,7.4
FL,2001,7.67
GA,2001,6.39
MD,2001,6.6
NC,2001,6.58
SC,2001,5.77
VA,2001,6.18
WV,2001,5.07
ESC,2001,5.33
AL,2001,5.6
KY,2001,4.24
MS,2001,6.26
TN,2001,5.59
WSC,2001,7.07
AR,2001,6.05
LA,2001,6.96
OK,2001,6.1
TX,2001,7.38
MTN,2001,6.44
AZ,2001,7.27
CO,2001,6.02
ID,2001,4.92
MT,2001,6.48
NV,2001,7.86
NM,2001,7.16
UT,2001,5.21
WY,2001,4.46
PCC,2001,9.26
CA,2001,11.22
OR,2001,5.44
WA,2001,5.34
PCN,2001,12.79
AK,2001,10.54
HI,2001,14.05
AT,2001,8.21
NEW,2002,10.03
CT,2002,9.71
ME,2002,10.35
MA,2002,10.06
NH,2002,10.6
RI,2002,9.2
VT,2002,10.87
MAT,2002,9.58
NJ,2002,9.3
NY,2002,11.16
PA,2002,8.06
ENC,2002,6.56
IL,2002,6.94
IN,2002,5.34
MI,2002,7.09
OH,2002,6.77
WI,2002,6.28
WNC,2002,5.96
IA,2002,6.01
KS,2002,6.31
MN,2002,5.8
MO,2002,6.09
NE,2002,5.55
ND,2002,5.45
SD,2002,6.26
SAT,2002,6.56
DE,2002,6.91
DC,2002,7.34
FL,2002,7.31
GA,2002,6.24
MD,2002,6.18
NC,2002,6.74
SC,2002,5.83
VA,2002,6.23
WV,2002,5.11
ESC,2002,5.39
AL,2002,5.71
KY,2002,4.26
MS,2002,6.24
TN,2002,5.72
WSC,2002,6.33
AR,2002,5.61
LA,2002,5.99
OK,2002,5.59
TX,2002,6.62
MTN,2002,6.52
AZ,2002,7.21
CO,2002,6.0
ID,2002,5.58
MT,2002,5.7
