Year,State,CO2_annual
1990,AK,16835236
1990,AL,211744252
1990,AR,93703208
1990,AZ,132444852
1990,CA,210622572
1990,CO,126068340
1990,CT,48413072
1990,DC,1638896
1990,DE,35539516
1990,FL,366220948
1990,GA,271410772
1990,HI,32254020
1990,IA,119816420
1990,ID,1956172
1990,IL,243046460
1990,IN,396314376
1990,KS,110068184
1990,KY,266764624
1990,LA,179931660
1990,MA,111263728
1990,MD,109398660
1990,ME,20818664
1990,MI,287020352
1990,MN,127668316
1990,MO,194820108
1990,MS,59106176
1990,MT,64516164
1990,NC,195999508
1990,ND,113953016
1990,NE,54230332
1990,NH,20346996
1990,NJ,54547248
1990,NM,113553720
1990,NV,66780760
1990,NY,276353020
1990,OH,442429364
1990,OK,146968216
1990,OR,8220620
1990,PA,437987204
1990,PR,0
1990,RI,2394248
1990,SC,94655208
1990,SD,11041692
1990,TN,213280496
1990,TX,852224672
1990,US-TOTAL,7814795768
1990,UT,116903752
1990,VA,115187024
1990,VT,163476
1990,WA,34174304
1990,WI,150160196
1990,WV,288666304
1990,WY,165168644
1991,AK,16283764
1991,AL,228164824
1991,AR,94793384
1991,AZ,133578288
1991,CA,200313036
1991,CO,123226624
1991,CT,47039200
1991,DC,931504
1991,DE,32720324
1991,FL,392073960
1991,GA,245493316
1991,HI,27552296
1991,IA,124322680
1991,ID,1752532
1991,IL,247520168
1991,IN,394288636
1991,KS,110614508
1991,KY,271201992
1991,LA,179945460
1991,MA,114694836
1991,MD,107938928
1991,ME,17906576
1991,MI,288095604
1991,MN,122605440
1991,MO,195781024
1991,MS,54062988
1991,MT,70015656
1991,NC,198496556
1991,ND,115925560
1991,NE,57797216
1991,NH,18575040
1991,NJ,57108696
1991,NM,97421964
1991,NV,71612280
1991,NY,259667896
1991,OH,452618092
1991,OK,158926032
1991,OR,15407188
1991,PA,435267508
1991,RI,5765508
1991,SC,96235936
1991,SD,11999048
1991,TN,201308216
1991,TX,849459932
1991,US-TOTAL,7801862828
1991,UT,111064028
1991,VA,123162664
1991,VT,254924
1991,WA,35069548
1991,WI,156136984
1991,WV,268620016
1991,WY,161044448
1992,AK,15779444
1992,AL,241780356
1992,AR,96657408
1992,AZ,143392772
1992,CA,231924596
1992,CO,127175944
1992,CT,39030492
1992,DC,464612
1992,DE,32029996
1992,FL,388194368
1992,GA,238780940
1992,HI,31341064
1992,IA,120681188
1992,ID,2607024
1992,IL,233759284
1992,IN,389096636
1992,KS,100042108
1992,KY,275446636
1992,LA,186971032
1992,MA,108506404
1992,MD,105046760
1992,ME,18930348
1992,MI,274435624
1992,MN,124804380
1992,MO,189935844
1992,MS,48139516
1992,MT,73799264
1992,NC,228659588
1992,ND,120532184
1992,NE,53255652
1992,NH,18037092
1992,NJ,62049284
1992,NM,109672076
1992,NV,74276456
1992,NY,240268916
1992,OH,460493528
1992,OK,160654492
1992,OR,19624680
1992,PA,433752568
1992,RI,9299832
1992,SC,92942980
1992,SD,11231252
1992,TN,211259040
1992,TX,845224704
1992,US-TOTAL,7889100436
1992,UT,119689176
1992,VA,129983468
1992,VT,183572
1992,WA,45224644
1992,WI,152014424
1992,WV,275604332
1992,WY,176412456
1993,AK,16169348
1993,AL,267332268
1993,AR,87015160
1993,AZ,150514984
1993,CA,217812828
1993,CO,129987208
1993,CT,34530780
1993,DC,901516
1993,DE,35734404
1993,FL,402284088
1993,GA,257369076
1993,HI,31081980
1993,IA,129392380
1993,ID,2823368
1993,IL,280175484
1993,IN,402323324
1993,KS,121331276
1993,KY,308289952
1993,LA,195761548
1993,MA,98793092
1993,MD,114534156
