State,Year,e_price,CO2_annual,Fuels_ratio,coal_ratio,natural_gas_ratio,crude_oil_ratio,state_code,cdd,hdd,Description,cdd_hdd_sum,CO2_log
CT,2001,9.62,45649924,0.0,0.0,0.0,0.0,6,47.5,472.6666666666667,Connecticut,520.1666666666667,17.636512500162684
ME,2001,10.55,35440016,0.0,0.0,0.0,0.0,17,22.0,629.0,Maine,651.0,17.38335213516832
MA,2001,11.55,99152464,0.0,0.0,0.0,0.0,19,40.833333333333336,496.75,Massachusetts,537.5833333333334,18.412169263856793
NH,2001,10.95,18182220,0.0,0.0,0.0,0.0,27,25.0,606.0833333333334,New Hampshire,631.0833333333334,16.715954751469738
RI,2001,11.45,13784508,0.0,0.0,0.0,0.0,37,44.583333333333336,464.1666666666667,Rhode Island,508.75,16.439055910834654
VT,2001,10.86,174076,0.0,0.0,0.0,0.0,43,18.25,648.5833333333334,Vermont,666.8333333333334,12.067247264444541
NJ,2001,9.36,87756212,0.0,0.0,0.0,0.0,28,63.5,419.5,New Jersey,483.0,18.290073209827405
NY,2001,11.55,244013156,0.0368461142409059,0.0,0.035645586158148,0.0012005280827578,30,47.5,480.5833333333333,New York,528.0833333333333,19.312732699836737
PA,2001,8.01,453234964,0.7059187012970248,0.6554984361714379,0.0472284038961361,0.0031918612294508,36,51.91666666666666,459.0,Pennsylvania,510.9166666666667,19.9319212333038
IL,2001,6.9,372609056,0.4353992009380019,0.4046076517573391,0.000125213622823,0.0306663355578397,11,73.0,478.3333333333333,Illinois,551.3333333333333,19.736040320721
IN,2001,5.3,474536768,0.9433366872508118,0.9286974656033112,0.0012448706191118,0.0133943510283887,12,71.41666666666667,438.25,Indiana,509.6666666666667,19.977849660894208
MI,2001,6.97,311854524,0.4702111073087404,0.0,0.4094717844368176,0.0607393228719227,20,46.833333333333336,522.6666666666666,Michigan,569.5,19.55804736780569
OH,2001,6.62,478779008,0.776471639688139,0.6297634756825243,0.109806374958599,0.0369017890470157,33,59.083333333333336,444.75,Ohio,503.8333333333333,19.986749687746276
WI,2001,6.08,199215764,0.0,0.0,0.0,0.0,47,45.5,586.0,Wisconsin,631.5,19.109899036529825
IA,2001,6.14,166116952,0.0,0.0,0.0,0.0,13,68.25,544.25,Iowa,612.5,18.92820262837646
KS,2001,6.24,143727388,0.8601629563956575,0.0042678506286912,0.6286335028005966,0.2272616029663697,14,131.75,388.8333333333333,Kansas,520.5833333333333,18.78342892439909
MN,2001,5.97,146191760,0.0,0.0,0.0,0.0,21,43.5,675.0,Minnesota,718.5,18.80042974254249
MO,2001,6.03,280815508,0.0662621189928158,0.0621701425216805,0.0,0.0040919764711352,23,106.25,397.6666666666667,Missouri,503.9166666666667,19.453208456511152
NE,2001,5.39,85810996,0.1012900169959042,0.0,0.0068485135549302,0.094441503440974,25,90.08333333333331,499.9166666666667,Nebraska,590.0,18.267657714754748
ND,2001,5.48,128339628,0.969219218100804,0.5935527505612554,0.1018423479321815,0.273824119607367,32,42.41666666666666,729.0833333333334,North Dakota,771.5,18.67019065173172
SD,2001,6.35,15846596,0.1686019601135014,0.0,0.0221166810891308,0.1464852790243706,39,65.08333333333333,621.5,South Dakota,686.5833333333334,16.57846527181566
DE,2001,6.8,24333856,0.0,0.0,0.0,0.0,7,83.41666666666667,362.4166666666667,Delaware,445.83333333333337,17.00737918966593
FL,2001,7.67,494246216,0.0643010715566628,0.0,0.0150654691009242,0.0492356024557385,8,280.9166666666667,53.0,Florida,333.9166666666667,20.01854436394118
GA,2001,6.39,306547792,0.0,0.0,0.0,0.0,9,126.75,225.08333333333331,Georgia,351.83333333333337,19.54088422940686
MD,2001,6.6,123026348,0.3884874574903853,0.3883727076103511,0.0001147498800342,0.0,18,81.25,368.0833333333333,Maryland,449.3333333333333,18.627909101778823
NC,2001,6.58,285036708,0.0,0.0,0.0,0.0,31,104.83333333333331,267.3333333333333,North Carolina,372.1666666666666,19.468128529938916
SC,2001,5.77,143831284,0.0,0.0,0.0,0.0,38,145.66666666666666,202.25,South Carolina,347.91666666666663,18.784151531745955
VA,2001,6.18,188731312,0.7216571612313628,0.6645368542675995,0.0570710746039487,4.923235981470171e-05,44,77.5,344.1666666666667,Virginia,421.6666666666667,19.055834931920142
WV,2001,5.07,302705664,0.996599318200715,0.943590578605545,0.0513663701116931,0.0016423694834769,46,56.25,410.5,West Virginia,466.75,19.528271485412528
AL,2001,5.6,315198876,0.6168584931662863,0.3167088193016612,0.2636665851243991,0.0364830887402258,1,142.75,221.33333333333331,Alabama,364.08333333333337,19.568714349951794
KY,2001,4.24,354138352,0.9847338672691384,0.954833576996792,0.0249581409712213,0.0049421493011249,15,95.08333333333331,351.5833333333333,Kentucky,446.6666666666666,19.685198219604665
MS,2001,6.26,126115140,0.6153377454097065,0.0163863360499393,0.326178159258617,0.2727732501011502,22,166.0,198.83333333333331,Mississippi,364.83333333333337,18.652705857169824
TN,2001,5.59,248198360,0.1678931331719859,0.160134112130125,0.0039153794746519,0.0038436415672089,40,105.91666666666669,308.0,Tennessee,413.9166666666667,19.329738823138413
AR,2001,6.05,113944684,0.4634921389286131,0.0008230470454555,0.3675455916217699,0.0951235002613876,3,148.33333333333334,276.8333333333333,Arkansas,425.1666666666666,18.55122366052736
LA,2001,6.96,219919432,0.8853630763891901,0.0183696265128182,0.647666247343079,0.2193272025332928,16,209.58333333333331,137.66666666666666,Louisiana,347.25,19.208771819060562
OK,2001,6.1,186723676,0.9788720863978414,0.0186915887850467,0.7866338330418913,0.1735466645709033,34,170.16666666666666,291.1666666666667,Oklahoma,461.33333333333337,19.04514041354095
TX,2001,7.38,1022869444,0.9479233309511093,0.0608735771084314,0.6281829464024803,0.2588668074401973,41,227.0,158.75,Texas,385.75,20.74587769504832
AZ,2001,7.27,188036048,0.4294879287471728,0.4285323974776312,0.0004558497799648,0.0004996814895768,2,269.8333333333333,173.66666666666666,Arizona,443.5,19.05214424709441
CO,2001,6.02,169461764,0.9863185901331928,0.4273990328559121,0.5036680202378303,0.0552515370394503,5,33.166666666666664,573.0,Colorado,606.1666666666666,18.94813787821659
ID,2001,4.92,4403828,0.0,0.0,0.0,0.0,10,46.0,570.9166666666666,Idaho,616.9166666666666,15.297984720657848
MT,2001,6.48,74102940,0.9165094119658652,0.7338618334810025,0.0869621086119617,0.0956854698729009,24,21.33333333333333,689.1666666666666,Montana,710.5,18.1209657655926
NV,2001,7.86,96555964,0.0711442998972954,0.0,0.0001497774734679,0.0709945224238274,26,197.83333333333331,288.3333333333333,Nevada,486.1666666666666,18.385633336034097
NM,2001,7.16,126947836,0.9971025102072714,0.200281627200235,0.6544529548656496,0.1423679281413868,29,86.66666666666667,374.0833333333333,New Mexico,460.75,18.659286819888543
UT,2001,5.21,131527556,0.989757407293408,0.6066891754310365,0.2992882747647707,0.0837799570976006,42,54.25,565.3333333333334,Utah,619.5833333333334,18.694726938960077
WY,2001,4.46,185288552,0.9982024256764505,0.7725148595257756,0.1855271516307592,0.0401604145199156,48,32.333333333333336,665.6666666666666,Wyoming,698.0,19.037424908451225
CA,2001,11.22,286652008,0.6679322496938049,0.0,0.1421861318158392,0.5257461178779657,4,77.66666666666667,247.5,California,325.1666666666667,19.473779522352565
OR,2001,5.44,37514008,0.0032442008841088,0.0,0.0032442008841088,0.0,35,15.166666666666666,447.0833333333333,Oregon,462.25,17.44022496785612
WA,2001,5.34,62728700,0.0882531782473423,0.0882531782473423,0.0,0.0,45,11.333333333333334,485.0,Washington,496.3333333333333,17.95432963612154
CT,2002,9.71,41523956,0.0,0.0,0.0,0.0,6,51.583333333333336,474.75,Connecticut,526.3333333333334,17.541781071666545
